Player,Squad,league_name,Pos_clean,role_group,Age,Min,starter_label,age_sq,Gls_per90,Ast_per90,G+A_per90,Sh_per90,SoT_per90,Fls_per90,Fld_per90,Off_per90,Crs_per90,Int_per90,TklW_per90,CrdY_per90,CrdR_per90,starter_probability
Wilfried Gnonto,Leeds United,Premier League,FW,FW,22.0,387,0,484.0,0.0,0.23255813953488372,0.23255813953488372,1.8604651162790697,0.0,1.627906976744186,1.8604651162790697,0.0,3.488372093023256,0.6976744186046512,2.3255813953488373,0.6976744186046512,0.0,0.07322794552902367
Tidiam Gomis,RB Leipzig,Bundesliga,FW,FW,19.0,316,0,361.0,0.2857142857142857,0.0,0.2857142857142857,2.5714285714285716,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.8571428571428571,1.7142857142857142,0.0,0.5714285714285714,0.0,0.0,0.12095984158088469
Anthony Gordon,Newcastle United,Premier League,FW,FW,25.0,1637,1,625.0,0.27472527472527475,0.10989010989010989,0.38461538461538464,2.417582417582418,1.043956043956044,0.7142857142857143,2.032967032967033,0.27472527472527475,3.7362637362637363,0.16483516483516483,0.6593406593406593,0.16483516483516483,0.054945054945054944,0.818472257747457
Michael Gregoritsch,Augsburg,Bundesliga,FW,FW,31.0,437,1,961.0,0.6122448979591836,0.2040816326530612,0.8163265306122448,2.2448979591836733,0.8163265306122448,0.8163265306122448,1.6326530612244896,0.2040816326530612,0.8163265306122448,0.4081632653061224,0.6122448979591836,0.4081632653061224,0.0,0.7853911832690891
Antoine Griezmann,Atlético Madrid,La Liga,FW,FW,34.0,926,0,1156.0,0.5825242718446602,0.0970873786407767,0.6796116504854368,3.203883495145631,1.7475728155339805,0.0970873786407767,0.5825242718446602,1.262135922330097,5.048543689320388,0.2912621359223301,0.48543689320388345,0.0,0.0,0.36390882230925464
Idrissa Guèye,Udinese,Serie A,FW,FW,19.0,185,0,361.0,0.0,0.0,0.0,2.380952380952381,0.47619047619047616,4.761904761904762,2.857142857142857,0.47619047619047616,0.9523809523809523,0.47619047619047616,0.47619047619047616,0.9523809523809523,0.0,0.061555189845075235
Luis Guilherme,West Ham United,Premier League,FW,FW,20.0,125,0,400.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.07300740837976531
Serhou Guirassy,Dortmund,Bundesliga,FW,FW,30.0,1791,1,900.0,0.6030150753768845,0.05025125628140704,0.6532663316582915,3.1155778894472363,1.4572864321608041,1.5577889447236182,1.35678391959799,0.35175879396984927,0.15075376884422112,0.0,0.05025125628140704,0.10050251256281408,0.0,0.8769870156819941
Marc Guiu,Chelsea,Premier League,FW,FW,20.0,238,0,400.0,0.0,0.3846153846153846,0.3846153846153846,4.230769230769231,0.7692307692307692,3.4615384615384612,0.7692307692307692,0.0,0.0,0.0,0.0,0.3846153846153846,0.0,0.0866775726653995
Viktor Gyökeres,Arsenal,Premier League,FW,FW,27.0,1892,1,729.0,0.5238095238095238,0.0,0.5238095238095238,2.0476190476190474,0.8095238095238095,1.3333333333333333,1.0952380952380953,0.09523809523809523,0.3333333333333333,0.047619047619047616,0.23809523809523808,0.19047619047619047,0.0,0.9066170188092011
Erling Haaland,Manchester City,Premier League,FW,FW,25.0,2413,1,625.0,0.8208955223880596,0.26119402985074625,1.0820895522388059,3.8059701492537314,1.828358208955224,0.708955223880597,0.8582089552238805,0.11194029850746269,0.11194029850746269,0.11194029850746269,0.22388059701492538,0.03731343283582089,0.0,0.8007202626097865
Conrad Harder,RB Leipzig,Bundesliga,FW,FW,20.0,771,0,400.0,0.23255813953488372,0.3488372093023256,0.5813953488372093,4.186046511627907,1.2790697674418605,1.8604651162790697,1.8604651162790697,0.46511627906976744,1.3953488372093024,0.6976744186046512,0.46511627906976744,0.3488372093023256,0.0,0.15532342232299
Jack Harrison,Leeds United,Premier League,FW,FW,29.0,269,0,841.0,0.0,0.0,0.0,2.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.0,5.666666666666667,1.3333333333333333,0.6666666666666666,0.0,0.0,0.09684496326142082
Rémi Himbert,Lyon,Ligue 1,FW,FW,18.0,131,0,324.0,0.6666666666666666,0.0,0.6666666666666666,6.666666666666667,0.6666666666666666,1.3333333333333333,2.6666666666666665,0.0,1.3333333333333333,0.0,2.0,0.0,0.0,0.08038253803322108
Rasmus Højlund,Napoli,Serie A,FW,FW,23.0,2085,1,529.0,0.4310344827586207,0.08620689655172414,0.5172413793103449,1.9396551724137931,0.9482758620689655,1.293103448275862,1.853448275862069,0.3879310344827586,0.12931034482758622,0.0,0.04310344827586207,0.04310344827586207,0.0,0.8984301951657699
Hamza Igamane,Lille,Ligue 1,FW,FW,23.0,432,0,529.0,1.0416666666666667,0.20833333333333334,1.25,5.0,1.875,1.25,0.625,1.0416666666666667,1.0416666666666667,0.4166666666666667,0.8333333333333334,0.4166666666666667,0.0,0.4024314213371241
Borja Iglesias,Celta Vigo,La Liga,FW,FW,33.0,1437,1,1089.0,0.6875,0.125,0.8125,2.5,1.375,1.875,1.1875,1.125,0.125,0.0,0.1875,0.375,0.0,0.6623082185888369
George Ilenikhena,Monaco,Ligue 1,FW,FW,19.0,385,0,361.0,0.46511627906976744,0.0,0.46511627906976744,3.488372093023256,1.627906976744186,0.46511627906976744,1.3953488372093024,1.8604651162790697,0.0,0.0,0.0,0.0,0.0,0.1047409588902185
